query,top tables,target table,target answer
who founded the women's social and political union,Conservative Party (UK)_2007F12A177EB627,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Northwestern University School of Education and Social Policy_DEE85832997BC16,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,International Monetary Fund_AD5C1E3BEA3F9ABF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,League of Nations_AD5C1E3BEA3F9ABF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Millennium Development Goals_D579CFACCA7DB40E,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United Nations Charter_AD5C1E3BEA3F9ABF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United Nations System_D579CFACCA7DB40E,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United Nations peacekeeping_AD5C1E3BEA3F9ABF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,World Food Programme_D579CFACCA7DB40E,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,World Health Organization_AD5C1E3BEA3F9ABF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Woman suffrage parade of 1913_D00C9C3CC6FA0546,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United Nations Development Programme_AD5C1E3BEA3F9ABF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United Nations General Assembly_AD5C1E3BEA3F9ABF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United Nations Population Fund_AD5C1E3BEA3F9ABF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United Nations Security Council_AD5C1E3BEA3F9ABF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United Nations Trusteeship Council_AD5C1E3BEA3F9ABF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Allies of World War II_AD5C1E3BEA3F9ABF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United Nations Human Rights Council_AD5C1E3BEA3F9ABF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Universal Declaration of Human Rights_AD5C1E3BEA3F9ABF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,"United Nations Secretary-General selection, 2016_AD5C1E3BEA3F9ABF",Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United Nations Security Council veto power_D579CFACCA7DB40E,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,"University of Maryland, College Park_B6DB8394DED39453",Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,UNICEF_89FFF2F4175BDF81,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Bharatiya Janata Party_B6727C434C8B18CD,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Genocide Convention_89FFF2F4175BDF81,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Kurt Waldheim_89FFF2F4175BDF81,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Bretton Woods system_F7B59613011DCD5C,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,List of United Nations organizations by location_2D170E7069598F64,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,List of forms of government_8C6BE99253781CF6,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Women's Social and Political Union_6DB99A35F7A4DF20,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Maryland Terrapins men's basketball_4ABA53F64A598371,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Republic of the Congo_7D8CC2B62E205649,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Human rights_12B3C959C789AE30,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Democratic Party (United States)_F78DA2BFAB17EE1E,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Bharatiya Janata Party_3C438269E82894B,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Social Democratic Party of Germany_BE60E96DDEBB99EA,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Chairperson of the African Union_7CF67B1E956EE6F0,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Republic of the Congo_1604E4AA03A1EE51,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Democratic Republic of the Congo_FCA6DD41480B9FA3,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Hegemonic masculinity_B9C36F7E84406507,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Texas Hill Country_2EBC4704A81FDDA1,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,The Feminine Mystique_352789E9FE00CD16,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,San Diego State University_538737BCFE0574BC,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Democratic Republic of the Congo_9743B79BF35A3EA2,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Missouri Tigers_FA2F78E7308C76FD,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,The Gambia_1604E4AA03A1EE51,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United Nations Security Council_C790D6BB4533CD2,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Wisconsin Badgers men's basketball_E4544577810FE2F3,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Republican Party (United States)_A1CAEEA8BF5AFCD6,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Women's suffrage in Australia_8683E5EF6D5E6740,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Wisconsin Idea_98562D6BD66CC22C,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,University of Wisconsin–Madison_E4544577810FE2F3,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Cuba_312ECBF7D0F5F59F,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Geography of Cuba_312ECBF7D0F5F59F,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United States embargo against Cuba_312ECBF7D0F5F59F,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Sudan_80A852F2746808F9,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Timeline of women's suffrage_DEB7A9E24312425D,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Women's rights_FB40225AD8357FB2,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Algeria_2BA8BE0D0FB0574F,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Newfoundland and Labrador New Democratic Party_FC82D946D6B6D44,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,First-wave feminism_56764D5F7AA910B2,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Second-wave feminism_352789E9FE00CD16,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Hegemonic masculinity_B094CA5C601B2CCE,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,National Woman's Party_18D20DF27D153311,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Sudan_21213BCD3BCD8EFC,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,National Woman Suffrage Association_56764D5F7AA910B2,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Kenya_B0090803784318A4,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,History of Cuba_8C73A4BA90287939,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Music of Cuba_8C73A4BA90287939,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Bay of Pigs Invasion_8C73A4BA90287939,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,New Zealand National Party_C3CEB687838D61CB,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Conservative Party (UK)_C3CEB687838D61CB,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Cape Verde_A8FBB7BA2062E0C7,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Zimbabwe_D147EDBC72620500,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Spanish–American War_FF829AECCB4607E2,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Algeria_7CF67B1E956EE6F0,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Chad_7CF67B1E956EE6F0,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Eritrea_7CF67B1E956EE6F0,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Seychelles_7CF67B1E956EE6F0,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Tunisia_7CF67B1E956EE6F0,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Uganda_7CF67B1E956EE6F0,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Equatorial Guinea_7CF67B1E956EE6F0,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Ivory Coast_7CF67B1E956EE6F0,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Libya_FCA6DD41480B9FA3,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Sierra Leone_7CF67B1E956EE6F0,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Guinea-Bissau_1604E4AA03A1EE51,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Lesotho_1604E4AA03A1EE51,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Madagascar_1604E4AA03A1EE51,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Zimbabwe_1604E4AA03A1EE51,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Algeria_4F80109F1C2E897E,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Cuban cuisine_E532439E5F2011B4,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Politics of Cuba_E532439E5F2011B4,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,South Africa_1604E4AA03A1EE51,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Cuban War of Independence_E532439E5F2011B4,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Isla de la Juventud_E532439E5F2011B4,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Republic of Cuba (1902–1959)_E532439E5F2011B4,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,International rankings of Iran_90946B8791619D83,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Union of South Africa_3364D865C06CBDBF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,List of political parties in Australia_329FAA7C61A27F39,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Libya_99068349B367E993,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,AT&T Park_8A24573AA910BDC2,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Carolina–Duke rivalry_40C4BB5CD743B8C7,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Eritrea_D9E51E23F3D563B5,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,List of political parties in Australia_27585B5FD2E9B2EB,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Carolina–Duke rivalry_151F0E177524EC27,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,North Carolina Tar Heels football_151F0E177524EC27,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Arizona Wildcats men's basketball_BBFE49DAF6063EDD,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Freedom Charter_7319B66B2E6B0D62,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
